AOJIANG,鳌江
BEIHAI,北海
BEILUN,北仑
BJIAO,北茭
BOAO,博鳌
CHIWANH,赤湾
CHMEN,长门
CHONGWUH,崇武
COMIN,崇明
DACHEN,大陈
DAISHAN,岱山
DAWANSAN,大万山
DONGFANG,东方
DONGSHAN,东山
DONGTOU,洞头
FANGCG,防城港
GANPU,澉浦
GAOQIAO,高桥
GUANGZHOU,广州
GUANTOU,管头
HAIAN,海安
HUANGPUG,黄浦
HUIZHOU,惠州
JIAOJIANG,椒江
KANMEN,坎门
LHDAO,六横岛
LUCHAOG,芦潮港
LUSI,吕泗
NAOZHOU,硇洲
PINGTAN,平潭
PUZHEN,堡镇
QINGLANH,清澜
QINYU,秦屿
QINZHOU,钦州
RUIANH,瑞安
SANMEN,三门
SANSHA,三沙
SANYA,三亚
SGTOU,沙港头
SHACHENG,沙埕
SHANTOUH,汕头
SHANWEI,汕尾
SHENGSHAN,嵊山
SHENJIAMEN,沈家门
SHESHAN,佘山
SHIPENG,石砰
SHIPU,石浦
SHUIDONG,水东
TAISHAN,台山
TANHUDAO,滩浒岛
TIESHAN,铁山港
WEIZHOU,涠洲
WENZHOU2,温州
WUSS,乌沙山
XIAMEN,厦门
XISHA,西沙
XIUYING,秀英
YANTIAN,盐田
ZHANJ,湛江
ZHAPO,闸坡
ZHAPU,乍浦
ZHELANG,遮浪
ZHENHAIH,镇海
ZHUHAI,珠海
BAYUQUAN,鲅鱼圈
HULUDAO,葫芦岛
ZHIMAOW,芷锚湾
QINHUANG,秦皇岛
JINGTG,京唐港
CAOFD,曹妃甸
TANGGU,塘沽
HUANGHUA,黄骅
GUDONG,孤东
WEIFANG,潍坊
LONGKOU,龙口
PENGLAI,蓬莱
CHENGST,成山头
XIAOMAID,小麦岛
SHIJIUS,石臼所
LIANYUNG,连云港
GAOQIAO,高桥
JIANTIAO,健跳
SANMEN,三门
RUIANH,瑞安
JINJIANG,晋江
JIUZHEN,旧镇
NANAO,南澳
HUANGPU,黄埔
HENGMEN,,横门
NANSHA,南沙
DENGLONG,灯笼山
SANZAO,三灶
NANDU,南渡
HAIKOU3,海口
SHANTOU,汕头
CHONGWU,崇武
LONGWAN,龙湾
HAIMENZ,
ZHENHAIS,
MEIHUA,
BAIYANT,


